,index,0,1,2,3,4,size,flip
0,1_large_0,0.008602325267042629,0.004849398588141285,0.003405877273185241,0.0031749015732774853,0.002886173937932365,large,0
1,3_small_180,0.007794014797693593,0.004445222154178569,0.0031171568242016148,0.0028284271247461914,0.0026551836094703537,small,180
2,1_large_180,0.008660061585616271,0.004907137658554122,0.0034636204564973175,0.0031749015732775118,0.0029439202887759485,large,180
3,4_large_0,0.008486852577172922,0.004791659420284378,0.003405877273185289,0.003117156824201616,0.002886173937932368,large,0
4,1_small_0,0.007620804856881373,0.004387482193696053,0.003117156824201612,0.0028284271247461944,0.0025974346318370914,small,0
5,4_large_180,0.008775534171775522,0.004964876634922563,0.0035213633723317904,0.0031749015732775022,0.0029439202887759576,large,180
6,1_small_180,0.007909487973314078,0.0045029619881436595,0.003174901573277511,0.0028861739379323647,0.002655183609470357,small,180
7,4_small_0,0.007620804856881371,0.004387482193696062,0.0031171568242016104,0.0028284271247461922,0.002597434631837085,small,0
8,2_large_0,0.008544588931013591,0.00484939858814129,0.0034636204564973128,0.0031749015732775083,0.0028284271247461888,large,0
9,4_small_180,0.007909487973314078,0.004445222154178571,0.0031171568242015987,0.0028861739379323578,0.002655183609470344,small,180
10,2_large_180,0.008660061585616278,0.004907137658554111,0.0035213633723318017,0.003232645975048911,0.0029439202887759294,large,180
11,5_large_0,0.008486852577172924,0.004849398588141286,0.0034636204564973388,0.003174901573277523,0.0028284271247461974,large,0
12,2_small_0,0.0076208048568813655,0.0043874821936960625,0.003117156824201606,0.0028284271247461866,0.002597434631837089,small,0
13,5_large_180,0.008660061585616278,0.0049071376585541155,0.00352136337233181,0.003232645975048924,0.0029439202887759424,large,180
14,2_small_180,0.007794014797693595,0.004502961988143657,0.003174901573277511,0.0028861739379323686,0.002597434631837092,small,180
15,5_small_0,0.007678541528180981,0.004387482193696067,0.0031171568242016096,0.002828427124746189,0.002597434631837092,small,0
16,3_large_0,0.00854458893101359,0.004849398588141287,0.0034636204564973175,0.0031171568242016044,0.0028861739379323625,large,0
17,5_small_180,0.007851751396981441,0.004502961988143663,0.0031171568242016052,0.0028861739379323617,0.0026551836094703637,small,180
18,3_large_180,0.008775534171775533,0.004907137658554115,0.0035213633723317913,0.0031749015732775304,0.0029439202887759346,large,180
19,6_large_180,0.008660061585616276,0.004907137658554117,0.003521363372331781,0.0031749015732775,0.002886173937932352,large,180
20,3_small_0,0.007736278174936581,0.0044452221541785766,0.0031171568242016083,0.0028284271247461953,0.002597434631837092,small,0
