,index,0,1,2,3,4,size,flip
0,1_large_0,2.2753,2.5415,2.7204,2.8697,2.9878,large,0
1,3_small_180,0.704,0.978,1.163,1.3173000000000001,1.44,small,180
2,1_large_180,0.8123,1.0814000000000001,1.263,1.4139,1.534,large,180
3,4_large_0,0.8156,1.0799999999999998,1.2584,1.4073,1.5252,large,0
4,1_small_0,0.22599999999999998,0.49470000000000003,0.6764,0.8278000000000001,0.9481,small,0
5,4_large_180,0.41519999999999996,0.6866,0.8686,1.0197,1.1396,large,180
6,1_small_180,0.3233,0.5999,0.7859,0.9408,1.0634000000000001,small,180
7,4_small_0,0.623,0.8914000000000001,1.0727,1.2243,1.3445,small,0
8,2_large_0,0.5855999999999999,0.8512,1.03,1.1791,1.297,large,0
9,4_small_180,1.7234,1.9990999999999999,2.1844,2.3388999999999998,2.4616,small,180
10,2_large_180,1.3978,1.6671,1.8488,1.9997,2.1193,large,180
11,5_large_0,1.6424,1.9068999999999998,2.0854,2.2342999999999997,2.3521,large,0
12,2_small_0,0.8184,1.0864,1.268,1.4196000000000002,1.5400000000000003,small,0
13,5_large_180,0.5496,0.819,1.0007,1.1515,1.2711,large,180
14,2_small_180,1.2262,1.5002,1.6851999999999996,1.8396000000000001,1.9624999999999997,small,180
15,5_small_0,1.1129,1.3820999999999999,1.5638999999999998,1.7154999999999998,1.8356,small,0
16,3_large_0,0.3368,0.6025,0.7814,0.9305,1.0485,large,0
17,5_small_180,1.3550000000000002,1.6303,1.8156000000000003,1.9703,2.0931,small,180
18,3_large_180,1.3958000000000002,1.6678,1.8502000000000003,2.0014,2.1211999999999995,large,180
19,6_large_180,1.6275999999999997,1.897,2.0786000000000002,2.2295,2.3493,large,180
20,3_small_0,-0.22040000000000007,0.050199999999999974,0.23229999999999995,0.3842,0.5049,small,0
