#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321AD93C4
#Date Time: 2022-12-05 11:20:31.016
#Sample rate: 5000Hz
#Samples: 22052
#Trigger: Source: Channel 1 Type: Edge Condition: Rising Level: 2 V Hyst.: Auto HoldOff: 100 ns
#Channel 1: Range: 500 mV/div Offset: -2 V Attenuation: 1 X Sample Mode: Average
#Power Supplies: ON
#Positive Supply: ON
#Voltage: 5 V
#Negative Supply: ON
#Voltage: -1 V

Time (s),Channel 1 (V)
-0.5,2.038833293183671
-0.4998,2.041864012211713
-0.4996,2.041864012211713
-0.4994000000000001,2.042200758770385
-0.4992000000000001,2.042200758770385
-0.4990000000000001,2.042200758770385
-0.4988000000000001,2.041864012211713
-0.4986000000000002,2.041864012211713
-0.4984000000000002,2.041864012211713
-0.4982000000000002,2.041864012211713
-0.4980000000000002,2.041864012211713
-0.4977999999999998,2.041864012211713
-0.4975999999999998,2.041864012211713
-0.4973999999999998,2.041864012211713
-0.4971999999999999,2.042200758770385
-0.4969999999999999,2.041864012211713
-0.4967999999999999,2.041864012211713
-0.4965999999999999,2.041864012211713
-0.4964,2.041864012211713
-0.4962,2.041864012211713
-0.496,2.041864012211713
-0.4958,2.042200758770385
-0.4956,2.041864012211713
-0.4954000000000001,2.041864012211713
-0.4952000000000001,2.041864012211713
-0.4950000000000001,2.041864012211713
-0.4948000000000001,2.041864012211713
-0.4946000000000002,2.041864012211713
-0.4944000000000002,2.041864012211713
-0.4942000000000002,2.041864012211713
-0.4940000000000002,2.041864012211713
-0.4937999999999998,2.041864012211713
-0.4935999999999998,2.041864012211713
-0.4933999999999998,2.041864012211713
-0.4931999999999999,2.041864012211713
-0.4929999999999999,2.041864012211713
-0.4927999999999999,2.041864012211713
-0.4925999999999999,2.042200758770385
-0.4923999999999999,2.041864012211713
-0.4922,2.041864012211713
-0.492,2.041864012211713
-0.4918,2.041864012211713
-0.4916,2.042200758770385
-0.4914000000000001,2.041864012211713
-0.4912000000000001,2.041864012211713
-0.4910000000000001,2.041864012211713
-0.4908000000000001,2.041864012211713
-0.4906000000000001,2.041864012211713
-0.4904000000000002,2.042200758770385
-0.4902000000000002,2.041864012211714
-0.4900000000000002,2.042200758770384
-0.4897999999999998,2.041864012211713
-0.4895999999999998,2.041864012211713
-0.4893999999999998,2.041864012211713
-0.4891999999999999,2.041864012211713
-0.4889999999999999,2.041864012211713
-0.4887999999999999,2.041864012211713
-0.4885999999999999,2.042200758770385
-0.4883999999999999,2.042200758770385
-0.4882,2.041864012211713
-0.488,2.041864012211713
-0.4878,2.041864012211713
-0.4876,2.041864012211713
-0.4874000000000001,2.041864012211713
-0.4872000000000001,2.041864012211713
-0.4870000000000001,2.042200758770385
-0.4868000000000001,2.041864012211713
-0.4866000000000001,2.042200758770385
-0.4864000000000002,2.041864012211713
-0.4862000000000002,2.042200758770384
-0.4860000000000002,2.041864012211714
-0.4857999999999998,2.041864012211713
-0.4855999999999998,2.041864012211713
-0.4853999999999998,2.041864012211713
-0.4851999999999999,2.041864012211713
-0.4849999999999999,2.041864012211713
-0.4847999999999999,2.041864012211713
-0.4845999999999999,2.041864012211713
-0.4843999999999999,2.041864012211713
-0.4842,2.041864012211713
-0.484,2.041864012211713
-0.4838,2.041864012211713
-0.4836,2.041864012211713
-0.4834000000000001,2.041864012211713
-0.4832000000000001,2.041864012211713
-0.4830000000000001,2.041864012211713
-0.4828000000000001,2.041864012211713
-0.4826000000000001,2.041864012211713
-0.4824000000000002,2.041864012211713
-0.4822000000000002,2.041864012211713
-0.4820000000000002,2.041864012211713
-0.4817999999999998,2.041864012211713
-0.4815999999999998,2.041864012211713
-0.4813999999999998,2.041864012211713
-0.4811999999999999,2.041864012211713
-0.4809999999999999,2.041864012211713
-0.4807999999999999,2.041864012211713
-0.4805999999999999,2.041864012211713
-0.4803999999999999,2.041864012211713
-0.4802,2.041864012211713
-0.48,2.041527265653042
-0.4798,2.042200758770385
-0.4796,2.042200758770385
-0.4794,2.041864012211713
-0.4792000000000001,2.041864012211713
-0.4790000000000001,2.041864012211713
-0.4788000000000001,2.041864012211713
-0.4786000000000001,2.042200758770385
-0.4784000000000002,2.041864012211713
-0.4782000000000002,2.041864012211713
-0.4780000000000002,2.041864012211713
-0.4777999999999998,2.041864012211713
-0.4775999999999998,2.041864012211713
-0.4773999999999998,2.041864012211713
-0.4771999999999998,2.041864012211713
-0.4769999999999999,2.041864012211713
-0.4767999999999999,2.041864012211713
-0.4765999999999999,2.041864012211713
-0.4763999999999999,2.041864012211713
-0.4762,2.041864012211713
-0.476,2.041864012211713
-0.4758,2.041864012211713
-0.4756,2.041864012211713
-0.4754,2.041864012211713
-0.4752000000000001,2.042200758770385
-0.4750000000000001,2.041864012211713
-0.4748000000000001,2.041864012211713
-0.4746000000000001,2.041864012211713
-0.4744000000000002,2.041864012211713
-0.4742000000000002,2.041864012211713
-0.4740000000000002,2.041864012211713
-0.4738000000000002,2.041864012211713
-0.4735999999999998,2.041864012211713
-0.4733999999999998,2.041864012211713
-0.4731999999999998,2.041864012211713
-0.4729999999999999,2.041864012211713
-0.4727999999999999,2.041864012211713
-0.4725999999999999,2.041864012211713
-0.4723999999999999,2.041864012211713
-0.4722,2.041864012211713
-0.472,2.041864012211713
-0.4718,2.042200758770385
-0.4716,2.041864012211713
-0.4714,2.041864012211713
-0.4712000000000001,2.041864012211713
-0.4710000000000001,2.041864012211713
-0.4708000000000001,2.041864012211713
-0.4706000000000001,2.041864012211713
